uei,field_name,domain_name,share
C13DF16LC3H4,Social Sciences,Social Sciences,0.0397329
C13DF16LC3H4,Psychology,Social Sciences,0.0234015
C13DF16LC3H4,Health Professions,Health Sciences,0.0075992
C13DF16LC3H4,Neuroscience,Life Sciences,0.0069624000000000005
C13DF16LC3H4,"Business, Management and Accounting",Social Sciences,0.0062955
C13DF16LC3H4,Mathematics,Physical Sciences,0.0048444
C13DF16LC3H4,"Economics, Econometrics and Finance",Social Sciences,0.0033259
C148TBZATPA8,Psychology,Social Sciences,0.0058785999999999995
C148TBZATPA8,Medicine,Health Sciences,0.0040478
C148TBZATPA8,Neuroscience,Life Sciences,0.0017720000000000001
C148TBZATPA8,Health Professions,Health Sciences,0.0014835
C148TBZATPA8,Social Sciences,Social Sciences,0.0014391
C148TBZATPA8,Computer Science,Physical Sciences,0.0003706
C148TBZATPA8,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0002846
C155UU2TXCP3,Medicine,Health Sciences,0.14562920000000004
C155UU2TXCP3,Social Sciences,Social Sciences,0.0044595
C155UU2TXCP3,Engineering,Physical Sciences,0.0040669
C155UU2TXCP3,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0039757
C155UU2TXCP3,Psychology,Social Sciences,0.0038813
C169K7T4QZ96,Engineering,Physical Sciences,0.010987599999999998
C169K7T4QZ96,Environmental Science,Physical Sciences,0.009520500000000001
C169K7T4QZ96,Computer Science,Physical Sciences,0.0067302
C169K7T4QZ96,Mathematics,Physical Sciences,0.0041591
C169K7T4QZ96,Psychology,Social Sciences,0.0030278
C169K7T4QZ96,Earth and Planetary Sciences,Physical Sciences,0.0025643999999999997
C169K7T4QZ96,Medicine,Health Sciences,0.0016288
C186U32QSBR9,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0417255
C186U32QSBR9,Agricultural and Biological Sciences,Life Sciences,0.0019476
C186U32QSBR9,Immunology and Microbiology,Life Sciences,0.0015703
C186U32QSBR9,Medicine,Health Sciences,0.0013688
C1ABLRAQTB48,Social Sciences,Social Sciences,0.0195468
C1ABLRAQTB48,Mathematics,Physical Sciences,0.0041878
C1ABLRAQTB48,Psychology,Social Sciences,0.0032985
C1ABLRAQTB48,"Business, Management and Accounting",Social Sciences,0.0024212
C1ABLRAQTB48,Engineering,Physical Sciences,0.0012681
C1ABLRAQTB48,Medicine,Health Sciences,0.0011143
C1ABLRAQTB48,Materials Science,Physical Sciences,0.0011116
C1ABLRAQTB48,Neuroscience,Life Sciences,0.0009793
C1CPANL3EWK4,Medicine,Health Sciences,0.1058836
C1CPANL3EWK4,Neuroscience,Life Sciences,0.023007
C1CPANL3EWK4,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0137856
C1CPANL3EWK4,Psychology,Social Sciences,0.0066639
C1CPANL3EWK4,Immunology and Microbiology,Life Sciences,0.0061785
C1CPANL3EWK4,Social Sciences,Social Sciences,0.0061758
C1DEGMMKC7W7,Social Sciences,Social Sciences,0.0259243
C1DEGMMKC7W7,Engineering,Physical Sciences,0.0169254
C1DEGMMKC7W7,Computer Science,Physical Sciences,0.011943800000000001
C1DEGMMKC7W7,Mathematics,Physical Sciences,0.0088136
C1DEGMMKC7W7,Psychology,Social Sciences,0.0047346
C1DEGMMKC7W7,Chemistry,Physical Sciences,0.0030334
C1DEGMMKC7W7,Materials Science,Physical Sciences,0.0026147
C1F5LNUF7W86,Medicine,Health Sciences,0.0656356
C1F5LNUF7W86,Nursing,Health Sciences,0.025355799999999998
C1F5LNUF7W86,Veterinary,Health Sciences,0.0196859
C1F5LNUF7W86,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0184565
C1F5LNUF7W86,Materials Science,Physical Sciences,0.0170505
C1F5LNUF7W86,Engineering,Physical Sciences,0.015286
C1F5LNUF7W86,Health Professions,Health Sciences,0.0125437
C1F5LNUF7W86,Social Sciences,Social Sciences,0.0066099
C1F5LNUF7W86,Physics and Astronomy,Physical Sciences,0.0052316
C31ES3WEAVQ5,Arts and Humanities,Social Sciences,0.051232299999999995
C31ES3WEAVQ5,Physics and Astronomy,Physical Sciences,0.0185373
C31ES3WEAVQ5,Social Sciences,Social Sciences,0.011132800000000002
C31ES3WEAVQ5,Decision Sciences,Social Sciences,0.0046831
C31ES3WEAVQ5,Earth and Planetary Sciences,Physical Sciences,0.0027343
C31ES3WEAVQ5,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0027173
C3KXNLTAAY98,Medicine,Health Sciences,0.054187000000000006
C3KXNLTAAY98,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.029842099999999996
C3KXNLTAAY98,Dentistry,Health Sciences,0.0179879
C3KXNLTAAY98,Neuroscience,Life Sciences,0.0149909
C3KXNLTAAY98,Psychology,Social Sciences,0.0050886
C3KXNLTAAY98,Social Sciences,Social Sciences,0.0048315
C3KXNLTAAY98,Physics and Astronomy,Physical Sciences,0.0040133
C4BXLBC11LC6,Social Sciences,Social Sciences,0.047117000000000006
C4BXLBC11LC6,Physics and Astronomy,Physical Sciences,0.0345765
C4BXLBC11LC6,Computer Science,Physical Sciences,0.022056
C4BXLBC11LC6,Engineering,Physical Sciences,0.0097079
C4BXLBC11LC6,"Economics, Econometrics and Finance",Social Sciences,0.0072147
C4BXLBC11LC6,Psychology,Social Sciences,0.0052312
C4BXLBC11LC6,Arts and Humanities,Social Sciences,0.0043059
C5LHMPRJ9J19,Medicine,Health Sciences,0.0201451
C5LHMPRJ9J19,Immunology and Microbiology,Life Sciences,0.013689600000000001
C5LHMPRJ9J19,Neuroscience,Life Sciences,0.0130275
C5LHMPRJ9J19,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0059724999999999995
C6T9BYG5EYX5,Social Sciences,Social Sciences,0.0410424
C6T9BYG5EYX5,Arts and Humanities,Social Sciences,0.0335579
C6T9BYG5EYX5,Physics and Astronomy,Physical Sciences,0.0115821
C6T9BYG5EYX5,Psychology,Social Sciences,0.0035009
C6T9BYG5EYX5,"Business, Management and Accounting",Social Sciences,0.0033452
C6T9BYG5EYX5,Health Professions,Health Sciences,0.0033395
C6T9BYG5EYX5,Medicine,Health Sciences,0.0028071
C8H9CNG1VBD9,Medicine,Health Sciences,0.15238840000000003
C8H9CNG1VBD9,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.07498949999999999
C8H9CNG1VBD9,Earth and Planetary Sciences,Physical Sciences,0.029438699999999998
C8H9CNG1VBD9,Immunology and Microbiology,Life Sciences,0.0169858
C8H9CNG1VBD9,Environmental Science,Physical Sciences,0.011065
C8H9CNG1VBD9,Psychology,Social Sciences,0.0087213
C8H9CNG1VBD9,Social Sciences,Social Sciences,0.0086319
C9MRZK4B7K39,Medicine,Health Sciences,0.0007066999999999998
C9MRZK4B7K39,Computer Science,Physical Sciences,0.0002645
C9MRZK4B7K39,Engineering,Physical Sciences,0.0002106
C9MRZK4B7K39,Health Professions,Health Sciences,9.53e-05
C9MRZK4B7K39,Neuroscience,Life Sciences,9.09e-05
C9MRZK4B7K39,Social Sciences,Social Sciences,3.7e-05
C9MRZK4B7K39,Psychology,Social Sciences,3.38e-05
C9MRZK4B7K39,Decision Sciences,Social Sciences,3.08e-05
CDAQNZCL6287,Social Sciences,Social Sciences,0.067838
CDAQNZCL6287,Environmental Science,Physical Sciences,0.025179
CDAQNZCL6287,Earth and Planetary Sciences,Physical Sciences,0.0141965
CDAQNZCL6287,Physics and Astronomy,Physical Sciences,0.0078596
CDAQNZCL6287,Psychology,Social Sciences,0.0040707
CDAQNZCL6287,Materials Science,Physical Sciences,0.0038673
CDAQNZCL6287,Arts and Humanities,Social Sciences,0.0037565
CFMMM5JM7HJ9,Agricultural and Biological Sciences,Life Sciences,0.12541409999999997
CFMMM5JM7HJ9,Environmental Science,Physical Sciences,0.0255077
CFMMM5JM7HJ9,Veterinary,Health Sciences,0.023855
CFMMM5JM7HJ9,Social Sciences,Social Sciences,0.0088034
CFMMM5JM7HJ9,"Economics, Econometrics and Finance",Social Sciences,0.0076288
CFMMM5JM7HJ9,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0073739
CFMMM5JM7HJ9,Medicine,Health Sciences,0.0063068
CFMMM5JM7HJ9,Health Professions,Health Sciences,0.0062753
CFMMM5JM7HJ9,Nursing,Health Sciences,0.0062472
CGCDJ24JJLZ1,Social Sciences,Social Sciences,0.06231899999999999
CGCDJ24JJLZ1,Psychology,Social Sciences,0.015942
CGCDJ24JJLZ1,Health Professions,Health Sciences,0.0036378
CGCDJ24JJLZ1,Nursing,Health Sciences,0.0029043
CGCDJ24JJLZ1,Medicine,Health Sciences,0.0022026
CJAJYT2KW771,Engineering,Physical Sciences,0.009775599999999999
CJAJYT2KW771,Physics and Astronomy,Physical Sciences,0.0089927
CJAJYT2KW771,Environmental Science,Physical Sciences,0.0037289
CJAJYT2KW771,Earth and Planetary Sciences,Physical Sciences,0.0013382
CJAJYT2KW771,Computer Science,Physical Sciences,0.0007774
CJAJYT2KW771,Social Sciences,Social Sciences,0.0005926
CJAJYT2KW771,Materials Science,Physical Sciences,0.0005902
CJDNG9D14MW7,Environmental Science,Physical Sciences,0.050493500000000004
CJDNG9D14MW7,Earth and Planetary Sciences,Physical Sciences,0.040090100000000004
CJDNG9D14MW7,Computer Science,Physical Sciences,0.008889000000000001
CJDNG9D14MW7,Psychology,Social Sciences,0.0031285
CJDNG9D14MW7,Social Sciences,Social Sciences,0.0030617
CJDNG9D14MW7,Engineering,Physical Sciences,0.0029303
CL7KJX2VFHS9,Social Sciences,Social Sciences,0.0091463
CL7KJX2VFHS9,"Business, Management and Accounting",Social Sciences,0.0055498
CL7KJX2VFHS9,Arts and Humanities,Social Sciences,0.0054884
CL7KJX2VFHS9,Psychology,Social Sciences,0.0020469
CL7KJX2VFHS9,Mathematics,Physical Sciences,0.0019767
CL7KJX2VFHS9,Health Professions,Health Sciences,0.0018425
CL7KJX2VFHS9,Environmental Science,Physical Sciences,0.0011876
CL7KJX2VFHS9,Earth and Planetary Sciences,Physical Sciences,0.0009625
CWKJEXDG79A7,Engineering,Physical Sciences,0.0277045
CWKJEXDG79A7,Materials Science,Physical Sciences,0.018877
CWKJEXDG79A7,Environmental Science,Physical Sciences,0.0136148
CWKJEXDG79A7,Agricultural and Biological Sciences,Life Sciences,0.0027983
CWKJEXDG79A7,Chemistry,Physical Sciences,0.0027644
CWKJEXDG79A7,Health Professions,Health Sciences,0.0020877
CWKJEXDG79A7,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0019933
CWKJEXDG79A7,Computer Science,Physical Sciences,0.0019216
D33QGS3Q3DJ3,Physics and Astronomy,Physical Sciences,0.0250667
D33QGS3Q3DJ3,Social Sciences,Social Sciences,0.023034699999999998
D33QGS3Q3DJ3,Chemistry,Physical Sciences,0.0055919
D33QGS3Q3DJ3,Mathematics,Physical Sciences,0.0055099
D33QGS3Q3DJ3,"Economics, Econometrics and Finance",Social Sciences,0.005319600000000001
D33QGS3Q3DJ3,"Business, Management and Accounting",Social Sciences,0.0050722
D33QGS3Q3DJ3,Medicine,Health Sciences,0.0032142
D33QGS3Q3DJ3,Decision Sciences,Social Sciences,0.0023997
D33QGS3Q3DJ3,Arts and Humanities,Social Sciences,0.0023433
D33QGS3Q3DJ3,Computer Science,Physical Sciences,0.0023242
D3LHU66KBLD5,Medicine,Health Sciences,0.24163880000000001
D3LHU66KBLD5,Health Professions,Health Sciences,0.0974449
D3LHU66KBLD5,"Economics, Econometrics and Finance",Social Sciences,0.034165100000000004
D3LHU66KBLD5,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0231055
D3LHU66KBLD5,Social Sciences,Social Sciences,0.0225868
D3LHU66KBLD5,Mathematics,Physical Sciences,0.0201364
D3LHU66KBLD5,Immunology and Microbiology,Life Sciences,0.017572
D3LHU66KBLD5,Environmental Science,Physical Sciences,0.0149203
D5S9JZ1KDP49,Engineering,Physical Sciences,0.0009029
D5S9JZ1KDP49,Computer Science,Physical Sciences,0.0005523
D5S9JZ1KDP49,"Business, Management and Accounting",Social Sciences,0.0004564
D5S9JZ1KDP49,Environmental Science,Physical Sciences,0.0001792
D5S9JZ1KDP49,Social Sciences,Social Sciences,0.00016829999999999997
D5S9JZ1KDP49,Decision Sciences,Social Sciences,9.14e-05
D5S9JZ1KDP49,Psychology,Social Sciences,7.77e-05
D5S9JZ1KDP49,Nursing,Health Sciences,3.45e-05
D5S9JZ1KDP49,Arts and Humanities,Social Sciences,3.15e-05
DAY7Z8ZD48Q3,Environmental Science,Physical Sciences,0.07499660000000001
DAY7Z8ZD48Q3,Social Sciences,Social Sciences,0.023861499999999997
DAY7Z8ZD48Q3,Arts and Humanities,Social Sciences,0.0119557
DAY7Z8ZD48Q3,Psychology,Social Sciences,0.0106467
DAY7Z8ZD48Q3,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0031298
DAY7Z8ZD48Q3,Engineering,Physical Sciences,0.0031045
DBP4N9GHCA14,Agricultural and Biological Sciences,Life Sciences,0.023359199999999997
DBP4N9GHCA14,Environmental Science,Physical Sciences,0.0054052
DBP4N9GHCA14,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0022659
DDL5KU1YZLP3,Physics and Astronomy,Physical Sciences,0.027379
DDL5KU1YZLP3,Engineering,Physical Sciences,0.007667200000000001
DDL5KU1YZLP3,Earth and Planetary Sciences,Physical Sciences,0.0004657
DDL5KU1YZLP3,Chemistry,Physical Sciences,0.0003946
DFNLDECWM8J8,Materials Science,Physical Sciences,0.0741342
DFNLDECWM8J8,Chemistry,Physical Sciences,0.013962599999999999
DFNLDECWM8J8,Engineering,Physical Sciences,0.013751000000000001
DFNLDECWM8J8,Chemical Engineering,Physical Sciences,0.0073185
DFNLDECWM8J8,Decision Sciences,Social Sciences,0.005534
DFNLDECWM8J8,Psychology,Social Sciences,0.0033258
DFNLDECWM8J8,Social Sciences,Social Sciences,0.0028191
DKMDCB5HNBL7,Medicine,Health Sciences,0.0341208
DKMDCB5HNBL7,Neuroscience,Life Sciences,0.014275200000000002
DKMDCB5HNBL7,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0137544
DKMDCB5HNBL7,Psychology,Social Sciences,0.0117148
DKMDCB5HNBL7,Materials Science,Physical Sciences,0.002256
DLTJBDQBGBC9,Medicine,Health Sciences,0.0101126
DLTJBDQBGBC9,Social Sciences,Social Sciences,0.002374
DLTJBDQBGBC9,"Biochemistry, Genetics and Molecular Biology",Life Sciences,0.0014198000000000001
DLTJBDQBGBC9,Health Professions,Health Sciences,0.0011405999999999999
DLTJBDQBGBC9,Immunology and Microbiology,Life Sciences,0.0011313
DLTJBDQBGBC9,Psychology,Social Sciences,0.000589
DLTJBDQBGBC9,Neuroscience,Life Sciences,0.0005831
DLTJBDQBGBC9,Environmental Science,Physical Sciences,0.0005422
DLUTVJJ15U66,Social Sciences,Social Sciences,0.05498699999999999
