state_fips,state_code,state_name,fiscal_year,agency,total_obligations,award_count
01,AL,ALABAMA,2016,Department of Defense,11183144.0,46
01,AL,ALABAMA,2016,Department of the Air Force,243000.0,2
01,AL,ALABAMA,2016,Department of the Army,-312250.0,6
01,AL,ALABAMA,2016,Department of the Navy,50879.0,1
01,AL,ALABAMA,2016,National Aeronautics and Space Administration,23869046.32,96
01,AL,ALABAMA,2016,National Institutes of Health,270841064.0,584
01,AL,ALABAMA,2016,National Science Foundation,45181642.0,189
01,AL,ALABAMA,2017,Defense Logistics Agency,764537.0,1
01,AL,ALABAMA,2017,Department of Defense,1152199.0,3
01,AL,ALABAMA,2017,Department of the Air Force,726629.0,2
01,AL,ALABAMA,2017,Department of the Army,12264444.0,24
01,AL,ALABAMA,2017,Department of the Navy,507768.0,4
01,AL,ALABAMA,2017,National Aeronautics and Space Administration,27528437.77,32
01,AL,ALABAMA,2017,National Geospatial-Intelligence Agency,0.0,1
01,AL,ALABAMA,2017,National Institutes of Health,278493948.0,325
01,AL,ALABAMA,2017,National Science Foundation,51738522.0,154
01,AL,ALABAMA,2018,Defense Intelligence Agency,2000000.0,1
01,AL,ALABAMA,2018,Defense Logistics Agency,310679.0,2
01,AL,ALABAMA,2018,Defense Threat Reduction Agency,-31479.0,1
01,AL,ALABAMA,2018,Department of the Air Force,999676.0,5
01,AL,ALABAMA,2018,Department of the Army,19380194.0,32
01,AL,ALABAMA,2018,Department of the Navy,2359803.0,11
01,AL,ALABAMA,2018,National Aeronautics and Space Administration,28267587.069999997,34
01,AL,ALABAMA,2018,National Geospatial-Intelligence Agency,0.0,0
01,AL,ALABAMA,2018,National Institutes of Health,326002115.0,222
01,AL,ALABAMA,2018,National Science Foundation,59598112.0,130
01,AL,ALABAMA,2018,Office of Local Defense Community Cooperation,496331.0,1
01,AL,ALABAMA,2019,Defense Logistics Agency,601970.58,1
01,AL,ALABAMA,2019,Department of the Air Force,1200713.0,5
01,AL,ALABAMA,2019,Department of the Army,18082082.98,25
01,AL,ALABAMA,2019,Department of the Navy,1570333.0,3
01,AL,ALABAMA,2019,National Aeronautics and Space Administration,26002171.410000004,52
01,AL,ALABAMA,2019,National Institutes of Health,332112187.0,202
01,AL,ALABAMA,2019,National Science Foundation,59567212.0,111
01,AL,ALABAMA,2020,National Aeronautics and Space Administration,32992089.459999997,52
01,AL,ALABAMA,2020,National Institutes of Health,360323758.0,205
01,AL,ALABAMA,2020,National Science Foundation,67675815.0,155
01,AL,ALABAMA,2021,National Aeronautics and Space Administration,39326120.46,49
01,AL,ALABAMA,2021,National Institutes of Health,349502398.7,195
01,AL,ALABAMA,2021,National Science Foundation,62952883.0,134
01,AL,ALABAMA,2022,National Aeronautics and Space Administration,35616713.06999999,40
01,AL,ALABAMA,2022,National Institutes of Health,345967599.39000005,185
01,AL,ALABAMA,2022,National Science Foundation,75777208.0,138
01,AL,ALABAMA,2023,National Aeronautics and Space Administration,41161996.34000001,36
01,AL,ALABAMA,2023,National Institutes of Health,373503660.7999998,211
01,AL,ALABAMA,2023,National Science Foundation,101963936.0,167
01,AL,ALABAMA,2024,National Aeronautics and Space Administration,39329977.449999996,45
01,AL,ALABAMA,2024,National Institutes of Health,367156407.15000015,191
01,AL,ALABAMA,2024,National Science Foundation,93106215.0,170
01,AL,ALABAMA,2025,National Aeronautics and Space Administration,50905598.01000001,19
01,AL,ALABAMA,2025,National Institutes of Health,334766299.8999999,146
