uei,name,city,state_code,fiscal_year,agency,total_obligations,award_count
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2016,Department of Defense,152360.0,3
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2016,National Institutes of Health,5194889.0,17
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2016,National Science Foundation,494364.0,7
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2017,Department of Defense,80087.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2017,Department of the Army,0.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2017,National Aeronautics and Space Administration,126320.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2017,National Institutes of Health,4490892.0,15
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2017,National Science Foundation,4135958.0,8
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2018,Department of the Army,335072.0,1
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2018,National Institutes of Health,6303926.0,12
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2018,National Science Foundation,521345.0,4
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2019,Department of the Army,642281.0,2
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2019,National Aeronautics and Space Administration,45396.0,0
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2019,National Institutes of Health,8121069.0,10
C13DF16LC3H4,UNIVERSITY OF NORTH CAROLINA AT GREENSBORO,GREENSBORO,NC,2019,National Science Foundation,3060681.0,11
